Segment,RFM_score,,,,,,,,,,,,,,,,,,
Lost Customer,111,,,,,,,,,,,,,,,,,,
Lost Customer,112,,,,,,,,,,,,,,,,,,
New Customer,113,,,,,,,,,,,,,,,,,,
New Customer,114,,,,,,,,,,,,,,,,,,
New Customer,115,,,,,,,,,,,,,,,,,,
Lost Customer,121,,,,,,,,,,,,,,,,,,
At Risk,122,,,,,,,,,,,,,,,,,,
At Risk,123,,,,,,,,,,,,,,,,,,
At Risk,124,,,,,,,,,,,,,,,,,,
At Risk,125,,,,,,,,,,,,,,,,,,
Lost Customer,131,,,,,,,,,,,,,,,,,,
New Customer,132,,,,,,,,,,,,,,,,,,
New Customer,133,,,,,,,,,,,,,,,,,,
New Customer,134,,,,,,,,,,,,,,,,,,
New Customer,135,,,,,,,,,,,,,,,,,,
Lost Customer,141,,,,,,,,,,,,,,,,,,
Lost Customer,142,,,,,,,,,,,,,,,,,,
At Risk,143,,,,,,,,,,,,,,,,,,
At Risk,144,,,,,,,,,,,,,,,,,, 
At Risk,145,,,,,,,,,,,,,,,,,,
At Risk,153,,,,,,,,,,,,,,,,,,
At Risk,154,,,,,,,,,,,,,,,,,,
At Risk,155,,,,,,,,,,,,,,,,,,
Lost Customer,211,,,,,,,,,,,,,,,,,,
Hibernating,212,,,,,,,,,,,,,,,,,,
Hibernating,213,,,,,,,,,,,,,,,,,,
Hibernating,214,,,,,,,,,,,,,,,,,,
Hibernating,215,,,,,,,,,,,,,,,,,,
Lost Customer,221,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,222,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,223,,,,,,,,,,,,,,,,,,
At Risk,224,,,,,,,,,,,,,,,,,,
At Risk,225,,,,,,,,,,,,,,,,,,
Lost Customer,231,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,232,,,,,,,,,,,,,,,,,,
At Risk,233,,,,,,,,,,,,,,,,,,
At Risk,234,,,,,,,,,,,,,,,,,,
At Risk,235,,,,,,,,,,,,,,,,,,
Lost Customer,241,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,242,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,243,,,,,,,,,,,,,,,,,,
At Risk,244,,,,,,,,,,,,,,,,,,
At Risk,245,,,,,,,,,,,,,,,,,,
Lost Customer,251,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,252,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,253,,,,,,,,,,,,,,,,,,
At Risk,254,,,,,,,,,,,,,,,,,,
At Risk,255,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,311,,,,,,,,,,,,,,,,,,
Hibernating,312,,,,,,,,,,,,,,,,,,
Hibernating,313,,,,,,,,,,,,,,,,,,
Hibernating,314,,,,,,,,,,,,,,,,,,
Hibernating,315,,,,,,,,,,,,,,,,,,
Lost Customer,321,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,322,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,323,,,,,,,,,,,,,,,,,,
At Risk,324,,,,,,,,,,,,,,,,,,
At Risk,325,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,331,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,332,,,,,,,,,,,,,,,,,,
At Risk,333,,,,,,,,,,,,,,,,,,
At Risk,334,,,,,,,,,,,,,,,,,,
At Risk,335,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,341,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,342,,,,,,,,,,,,,,,,,,
At Risk,343,,,,,,,,,,,,,,,,,,
Loyal Customer,344,,,,,,,,,,,,,,,,,,
Loyal Customer,345,,,,,,,,,,,,,,,,,,
At Risk,351,,,,,,,,,,,,,,,,,,
At Risk,352,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,353,,,,,,,,,,,,,,,,,,
Loyal Customer,354,,,,,,,,,,,,,,,,,,
Top Customer,355,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,411,,,,,,,,,,,,,,,,,,
Hibernating,412,,,,,,,,,,,,,,,,,,
Hibernating,413,,,,,,,,,,,,,,,,,,
Hibernating,414,,,,,,,,,,,,,,,,,,
Hibernating,415,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,421,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,422,,,,,,,,,,,,,,,,,,
At Risk,423,,,,,,,,,,,,,,,,,,
Loyal Customer,424,,,,,,,,,,,,,,,,,,
Loyal Customer,425,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,431,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,432,,,,,,,,,,,,,,,,,,
At Risk,433,,,,,,,,,,,,,,,,,,
Loyal Customer,434,,,,,,,,,,,,,,,,,,
Loyal Customer,435,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,441,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,442,,,,,,,,,,,,,,,,,,
At Risk,443,,,,,,,,,,,,,,,,,,
Loyal Customer,444,,,,,,,,,,,,,,,,,,
Top Customer,445,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,451,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,452,,,,,,,,,,,,,,,,,,
At Risk,453,,,,,,,,,,,,,,,,,,
Loyal Customer,454,,,,,,,,,,,,,,,,,,
Top Customer,455,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,511,,,,,,,,,,,,,,,,,,
Hibernating,512,,,,,,,,,,,,,,,,,,
Hibernating,513,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,514,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,515,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,521,,,,,,,,,,,,,,,,,,
At Risk,522,,,,,,,,,,,,,,,,,,
At Risk,523,,,,,,,,,,,,,,,,,,
Loyal Customer,524,,,,,,,,,,,,,,,,,,
Top Customer,525,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,531,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,532,,,,,,,,,,,,,,,,,,
At Risk,533,,,,,,,,,,,,,,,,,,
Loyal Customer,534,,,,,,,,,,,,,,,,,,
Top Customer,535,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,541,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,542,,,,,,,,,,,,,,,,,,
At Risk,543,,,,,,,,,,,,,,,,,,
Loyal Customer,544,,,,,,,,,,,,,,,,,,
Top Customer,545,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,551,,,,,,,,,,,,,,,,,,
Needs Immediate Attention,552,,,,,,,,,,,,,,,,,,
At Risk,553,,,,,,,,,,,,,,,,,,
Loyal Customer,554,,,,,,,,,,,,,,,,,,
Top Customer,555,,,,,,,,,,,,,,,,,,
